Quotazioni Fantacalcio - aggiornamento automatico;;;;;;;;;;;;
Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
6664;D;b|dd|e;Delprato;Parma;8;8;0;8;8;0;21;24
5862;D;ds|e;Valeri;Parma;8;8;0;8;8;0;24;24
7529;D;dc;Koulierakis;Roma;8;8;0;8;8;0;20;20
4994;D;dd|e;Vojvoda;Udinese;8;8;0;8;8;0;19;19
787;D;dc;Djimsiti;Atalanta;7;7;0;7;7;0;16;16
5701;D;b|ds|e;Obert;Cagliari;7;7;0;7;7;0;14;16
7414;D;ds|e;Kaiki;Como;7;7;0;7;7;0;23;23
5877;D;b|ds|e;Carlos Augusto;Inter;7;7;0;8;8;0;27;30
6320;D;dc;Doekhi;Lazio;7;7;0;7;7;0;22;22
460;D;dc;Romagnoli;Lazio;7;7;0;7;7;0;24;24
6989;D;dc;Tiago Gabriel;Lecce;7;7;0;7;7;0;17;17
4401;D;dc;Gabbia;Milan;7;7;0;7;7;0;23;23
4751;D;dc;Tomori;Milan;7;7;0;7;7;0;20;20
2724;D;dc;Buongiorno;Napoli;7;7;0;7;7;0;18;18
6672;D;dc;Idzes;Sassuolo;7;7;0;7;7;0;19;19
6642;D;dc;Coco;Torino;7;7;0;7;7;0;18;18
5010;D;dc;Ismajli;Torino;7;7;0;7;7;0;18;18
6485;D;dd|dc;Kristensen T.;Udinese;7;7;0;8;8;0;15;17
6916;D;b|ds|e;Ahanor;Atalanta;6;6;0;7;7;0;16;18
4887;D;dd|e;Bellanova;Atalanta;6;6;0;6;6;0;15;15
7219;D;ds|e;Bernasconi;Atalanta;6;6;0;6;6;0;17;17
7212;D;ds|dc;Heggem;Bologna;6;6;0;7;7;0;15;17
4433;D;dd|e;Zortea;Bologna;6;6;0;6;6;0;19;19
6867;D;ds|e;Valle;Como;6;6;0;6;6;0;18;18
7294;D;ds|dc;Valdepenas;Fiorentina;6;6;0;7;7;0;18;20
7410;D;ds|dc;Viery;Fiorentina;6;6;0;7;7;0;19;21
4952;D;dc;Monterisi;Frosinone;6;6;0;6;6;0;14;14
6660;D;dc;Marcandalli;Genoa;6;6;0;6;6;0;13;13
4177;D;dd|dc;Pavard;Inter;6;6;0;7;7;0;18;20
5620;D;ds|e;Tavares N.;Lazio;6;6;0;6;6;0;17;17
2188;D;dd|ds|e;Marusic;Lazio;6;6;0;6;6;0;20;23
4502;D;ds|e;Gallo;Lecce;6;6;0;6;6;0;13;13
7485;D;ds|e;Mangas;Monza;6;6;0;6;6;0;15;15
6202;D;dc;Beukema;Napoli;6;6;0;6;6;0;16;16
6663;D;dc;Circati;Parma;6;6;0;6;6;0;18;18
6495;D;dc;Comuzzo;Torino;6;6;0;6;6;0;11;11
5555;D;ds|e;Kamara H.;Udinese;6;6;0;6;6;0;12;12
7253;D;dc;Bella-Kotchap;Venezia;6;6;0;6;6;0;13;13
2640;D;ds|dc;Kolasinac;Atalanta;5;5;0;6;6;0;12;14
7068;D;dc;Vitik;Bologna;5;5;0;5;5;0;11;11
5678;D;dd|e;Holm;Bologna;5;5;0;5;5;0;13;13
7532;D;dc;Kofler;Cagliari;5;5;0;5;5;0;11;11
7274;D;dd|dc;Zè Pedro;Cagliari;5;5;0;6;6;0;11;13
6893;D;dc;Kempf;Como;5;5;0;5;5;0;13;13
5449;D;ds|e;Parisi;Fiorentina;5;5;0;5;5;0;12;12
7469;D;ds|dc;Bracaglia;Frosinone;5;5;0;5;5;0;11;13
6238;D;dd|e;Oyono A.;Frosinone;5;5;0;5;5;0;12;12
2593;D;ds|e;Martin;Genoa;5;5;0;5;5;0;15;15
6766;D;ds|dc;Kelly L.;Juventus;5;5;0;6;6;0;13;15
4817;D;ds|e;Pedraza;Lazio;5;5;0;5;5;0;15;15
6632;D;dc;Gaspar K.;Lecce;5;5;0;5;5;0;12;12
6990;D;dd|e;Veiga D.;Lecce;5;5;0;5;5;0;11;11
5840;D;b|ds|e;Olivera;Napoli;5;5;0;6;6;0;13;15
6986;D;b|dd|e;Rensch;Roma;5;5;0;6;6;0;16;18
6426;D;dd|e;Pedersen;Torino;5;5;0;5;5;0;13;13
6890;D;dc;Moreno M.;Venezia;5;5;0;5;5;0;11;11
5695;D;ds|e;Haps;Venezia;5;5;0;5;5;0;11;11
4461;D;b|dd|e;Zappa;Cagliari;4;4;0;4;4;0;9;11
7014;D;dd|e;Smolcic I.;Como;4;4;0;4;4;0;10;10
5603;D;dc;Pongracic;Fiorentina;4;4;0;4;4;0;8;8
7467;D;dc;Calvani;Frosinone;4;4;0;4;4;0;10;10
7537;D;ds|e;Mitaj;Genoa;4;4;0;4;4;0;9;9
5831;D;dc;Gatti;Juventus;4;4;0;4;4;0;10;10
7240;D;dc;Siebert;Lecce;4;4;0;4;4;0;12;12
2115;D;dc;Delli Carri;Monza;4;4;0;4;4;0;11;11
6659;D;dc;Lucchesi;Monza;4;4;0;4;4;0;12;12
5838;D;dd|ds|e;Birindelli;Monza;4;4;0;5;5;0;12;14
5307;D;dc;Valenti;Parma;4;4;0;4;4;0;10;10
6631;D;dc;Ghilardi;Roma;4;4;0;4;4;0;10;10
4374;D;dd|dc;Walukiewicz;Sassuolo;4;4;0;4;4;0;10;12
5851;D;ds|e;Doig;Sassuolo;4;4;0;4;4;0;13;13
7526;D;dc;Comert;Torino;4;4;0;4;4;0;10;10
4263;D;dc;Kabasele;Udinese;4;4;0;4;4;0;9;9
5820;D;dd|ds|dc;Bertola;Udinese;4;4;0;6;6;0;10;14
5527;D;dd|e;Zanoli;Udinese;4;4;0;4;4;0;10;10
7312;D;ds|e;Arizala;Udinese;4;4;0;4;4;0;8;8
7538;D;dc;Halhal;Venezia;4;4;0;4;4;0;10;10
4845;D;dd|e;Correia T.;Venezia;4;4;0;4;4;0;12;12
5578;D;dd|dc;Kossounou;Atalanta;3;3;0;3;3;0;7;8
5498;D;dc;Casale;Bologna;3;3;0;3;3;0;6;6
7268;D;ds|dc;Rodriguez Ju.;Cagliari;3;3;0;4;4;0;10;12
7125;D;ds|e;Idrissi R.;Cagliari;3;3;0;3;3;0;7;7
4378;D;ds|dc;Ranieri L.;Fiorentina;3;3;0;3;3;0;7;7
7175;D;dd|e;Joao Mario;Fiorentina;3;3;0;3;3;0;7;7
7540;D;dc;Akpoguma;Frosinone;3;3;0;3;3;0;7;7
5757;D;dc;Cittadini;Frosinone;3;3;0;3;3;0;8;8
7012;D;dc;Provstgaard;Lazio;3;3;0;3;3;0;10;10
7131;D;dd|e;Floriani Mussolini;Lazio;3;3;0;3;3;0;12;12
5739;D;dd|dc;De Winter;Milan;3;3;0;4;4;0;12;14
7211;D;dd|e;Athekame;Milan;3;3;0;3;3;0;8;8
5273;D;ds|e;Estupinan;Milan;3;3;0;3;3;0;9;9
7238;D;dd|dc;Kouadio;Monza;3;3;0;3;3;0;9;10
4925;D;ds|dc;Carboni A.;Monza;3;3;0;4;4;0;9;11
7235;D;dc;Troilo;Parma;3;3;0;3;3;0;8;8
7255;D;dd|ds|e;Britschgi;Parma;3;3;0;4;4;0;10;12
4772;D;e;Angelino *;Roma;3;3;0;3;3;0;12;12
6985;D;ds|dc;Candè;Sassuolo;3;3;0;3;3;0;12;14
6892;D;dc;Schingtienne;Venezia;3;3;0;3;3;0;7;7
6673;D;ds|dc;Sverko;Venezia;3;3;0;3;3;0;7;7
6821;D;dd|e;Hainaut;Venezia;3;3;0;3;3;0;7;7
7326;D;dd|dc;Helland;Bologna;2;2;0;2;2;0;5;5
7483;D;ds|e;Alhassane;Bologna;2;2;0;2;2;0;6;6
6896;D;dd|e;Van Der Brempt;Como;2;2;0;2;2;0;5;5
6977;D;dc;Otoa;Genoa;2;2;0;2;2;0;5;5
7413;D;ds|e;Puczka;Genoa;2;2;0;2;2;0;7;7
791;D;dd|ds|e;Sabelli;Genoa;2;2;0;2;2;0;5;5
2263;D;dd|e;Lazzari;Lazio;2;2;0;2;2;0;8;8
2728;D;ds|e;Pellegrini Lu.;Lazio;2;2;0;2;2;0;5;5
6883;D;dc;Jean;Lecce;2;2;0;2;2;0;4;4
7525;D;ds|dc;Diawara S.;Milan;2;2;0;2;2;0;4;4
6638;D;dc;Marin R.;Napoli;2;2;0;2;2;0;6;6
252;D;b|ds|e;Biraghi;Torino;2;2;0;2;2;0;5;6
6925;D;dc;Palma;Udinese;2;2;0;2;2;0;5;5
5994;D;ds|dc;Ebosse;Udinese;2;2;0;2;2;0;4;4
7478;D;b|ds|e;Franjic;Venezia;2;2;0;2;2;0;4;4
6681;D;dd|e;Sagrado;Venezia;2;2;0;2;2;0;4;4
487;D;dd|e;De Silvestri;Bologna;1;1;0;1;1;0;4;4
7346;D;dd|e;Raterink;Cagliari;1;1;0;1;1;0;1;1
418;D;dc;Goldaniga;Como;1;1;0;1;1;0;1;1
7407;D;ds|dc;Cuenca A.;Como;1;1;0;1;1;0;8;8
5424;D;dc;Amey;Frosinone;1;1;0;1;1;0;1;1
7468;D;dc;Gelli J.;Frosinone;1;1;0;1;1;0;1;1
7470;D;dd|e;Oyono J.;Frosinone;1;1;0;1;1;0;3;3
7471;D;ds|e;Corrado;Frosinone;1;1;0;1;1;0;3;3
6245;D;dd|dc;Vogliacco *;Genoa;1;1;0;1;1;0;2;2
6244;D;ds|dc;Matturro;Genoa;1;1;0;1;1;0;2;2
294;D;dc;Rugani;Juventus;1;1;0;1;1;0;3;3
6039;D;b|ds|e;Cabal;Juventus;1;1;0;1;1;0;4;4
327;D;dd|dc;Patric;Lazio;1;1;0;1;1;0;4;4
7164;D;dd|dc;Perez M.;Lecce;1;1;0;1;1;0;1;1
7182;D;ds|e;Ndaba;Lecce;1;1;0;1;1;0;4;4
5399;D;dc;Antov;Monza;1;1;0;1;1;0;2;2
7476;D;dd|e;Bakoune;Monza;1;1;0;1;1;0;4;4
6809;D;dc;Marianucci;Napoli;1;1;0;1;1;0;5;5
5481;D;dd|ds|e;Mazzocchi;Napoli;1;1;0;1;1;0;3;3
7202;D;dc;Ndiaye;Parma;1;1;0;1;1;0;4;4
6149;D;ds|e;Carboni F.;Parma;1;1;0;1;1;0;3;3
7260;D;dc;Ziolkowski;Roma;1;1;0;1;1;0;2;2
6189;D;dd|e;Missori;Sassuolo;1;1;0;1;1;0;2;2
7156;D;ds|e;Pieragnolo;Sassuolo;1;1;0;1;1;0;1;1
7356;D;dc;Mlacic;Udinese;1;1;0;1;1;0;3;3
6021;D;dd|dc;Abankwah;Udinese;1;1;0;1;1;0;3;3
7454;D;ds|dc;Gomes;Venezia;1;1;0;1;1;0;1;1
